Jogo nº 018;;;;ROSA NEGRA/IPASURE;;;;;;;;vs;KILOUKURA FUTSAL;;;;;;;;;;;;;;;;;
12/04/26;;08h30;;Local: Ginásio do Ocian Praia Clube;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 019;;;;OCIAN PRAIA CLUBE/AJR;;;;;;;;vs;AE FUTMAX;;;;;;;;;;;;;;;;;
12/04/26;;14h30;;Local: Ginásio Vila Aparecida - Taubaté;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 020;;;;ABESC/CAÇAPAVA FUTSAL;;;;;;;;vs;AD GALATA;;;;;;;;;;;;;;;;;
2ª RODADA  - Grupo A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/04/26;;08h30;;Local: Arena CIEF - Parque da Cohab;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 021;;;;ITAPEVI/LAIFS/SEL;;;;;;;;vs;CA DESPORTIVO SOROCABA;;;;;;;;;;;;;;;;;
18/04/26;;08h30;;Local: Arena CTC Vila Ema;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 022;;;;CTC VILA EMA;;;;;;;;vs;UNILESTE/PONTO DE ENCONTRO;;;;;;;;;;;;;;;;;
19/04/26;;8h30;;Local: Ginásio Presidnete Ciro I;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 023;;;;AECT BOLA NO PÉ;;;;;;;;vs;A LIGA LESTE;;;;;;;;;;;;;;;;;
19/04/26;;14h00;;Local: Ginásio Noêmia Assunção;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 024;;;;AA CAMILÓPOLIS;;;;;;;;vs;LIGA SOROCABANA/KGB FUTSAL;;;;;;;;;;;;;;;;;
19/04/26;;14h30;;Local: Ginásio CEU Jd Cumbica - Guarulhos;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 025;;;;AE CHUTE FUTSAL;;;;;;;;vs;GUARULHENSE;;;;;;;;;;;;;;;;;
19/04/26;;14h30;;Local: Ginásio Mané Garrincha;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 026;;;;MX7 FUTSAL;;;;;;;;vs;AA ALIANÇA/JACAREÍ;;;;;;;;;;;;;;;;;
19/04/26;;15h00;;Local: Arena 4G;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 027;;;;AA FLAMENGO;;;;;;;;vs;ATIBAIA FUTSAL;;;;;;;;;;;;;;;;;
ADC LAZULI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2ª RODADA - Grupo B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/04/26;;8h30;;Local: Ginásio José de Souza Sobrinho;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº;;;;TABOÃO F9;;;;;;;;vs;AE CAPÃO BONITO;;;;;;;;;;;;;;;;;
18/04/26;;14h30;;Local: Quadra da Tânia - Itapevi;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 028;;;;AD OLIMPIK;;;;;;;;vs;INST FAMÍLIA/LORENA;;;;;;;;;;;;;;;;;
19/04/26;;8h30;;Local: Ginásio Toca do Tigre;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 029;;;;ADEF;;;;;;;;vs;SC PAULINENSE;;;;;;;;;;;;;;;;;
19/04/26;;8h30;;Local: Centro Esportivo Mané Garrincha (Ibirapuera);;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 030;;;;ASTROS/INDIANO;;;;;;;;vs;"SELECIONADOS ""B""";;;;;;;;;;;;;;;;;
